date,BEATO_ICA,BEATO_NO2,BEATO_PM10,BEATO_PM25,FUEROS_ICA,FUEROS_NO2,FUEROS_PM10,FUEROS_PM25,HUETOS_ICA,HUETOS_NO2,HUETOS_PM10,HUETOS_PM25,LANDAZURI_ICA,LANDAZURI_NO2,LANDAZURI_PM10,LANDAZURI_PM25,PAUL_ICA,PAUL_NO2,PAUL_PM10,PAUL_PM25,ZUMABIDE_ICA,ZUMABIDE_NO2,ZUMABIDE_PM10,ZUMABIDE_PM25
2026-04-01,14.916666666666666,13.152421945833334,11.09375,5.679166666666667,21.166666666666668,12.258328137500001,15.437916666666666,8.247916666666667,23.541666666666668,15.606797220833334,18.414166666666667,8.833333333333334,21.25,11.100468879166668,14.597499999999998,8.289166666666667,44.041666666666664,11.418422029166665,33.280833333333334,12.827916666666667,27.0,22.009687666666665,18.933333333333334,10.57875
2026-04-02,9.333333333333334,13.57795325,2.734166666666667,1.8516666666666666,10.583333333333334,13.2615937625,5.086250000000001,3.5987500000000003,10.291666666666666,13.569187833333332,4.623333333333334,2.887916666666667,8.708333333333334,10.8773439,3.8204166666666666,2.6329166666666666,11.625,11.776219,8.458333333333334,4.189166666666667,15.166666666666666,22.459922333333335,6.028333333333333,4.019166666666667
2026-04-03,8.833333333333334,12.927703270833334,3.3816666666666664,1.8229166666666667,10.791666666666666,14.401921895833333,5.894166666666667,3.6950000000000003,10.5,13.911047145833335,5.1466666666666665,2.5629166666666667,8.5,11.428781375,4.399583333333333,2.44875,13.166666666666666,11.583375124999998,10.087083333333334,4.117083333333333,13.583333333333334,19.058062720833334,6.385000000000001,3.7587499999999996
2026-04-04,10.791666666666666,12.94045325,4.693333333333333,3.0700000000000003,13.833333333333334,12.335625289583334,7.659583333333334,5.00125,13.458333333333334,13.440549265714287,6.804583333333333,4.460833333333333,11.5,12.8539923875,5.927916666666667,3.7875,17.166666666666668,12.403359566666666,13.182083333333333,5.462083333333333,14.125,11.176172062500001,8.017916666666666,5.273333333333333
2026-04-05,10.291666666666666,6.866216680357144,5.7058333333333335,3.8754166666666667,16.125,8.105015725,9.595833333333333,6.22625,13.083333333333334,9.638601620833333,7.016249999999999,4.755833333333333,11.291666666666666,6.9941719,6.484999999999999,4.149166666666667,22.25,5.944687501250001,17.45,6.649166666666667,12.458333333333334,9.381290875,7.28,4.79125
2026-04-06,13.541666666666666,2.8414855014880955,7.565416666666667,5.19625,21.0,3.6182109183333337,11.941250000000002,8.190416666666666,20.75,4.105101617083333,12.685833333333333,8.058333333333334,17.875,3.83091020625,10.655833333333334,6.935,35.291666666666664,3.3978085786458334,27.87708333333333,10.981666666666667,25.083333333333332,4.726834830416666,14.21875,9.867083333333333
2026-04-07,7.833333333333333,4.487601554166667,4.647083333333334,2.4525,13.458333333333334,11.681390745833333,8.24875,3.8216666666666668,14.416666666666666,13.507828340416667,8.425416666666667,3.686666666666667,11.083333333333334,3.8531562625,8.235416666666667,3.362083333333333,45.916666666666664,3.195003907951389,36.36625,4.416666666666667,14.291666666666666,13.805062458333333,8.662916666666666,3.9479166666666665
2026-04-08,11.625,6.751921636875,7.568333333333334,3.2887500000000003,17.333333333333332,11.400093871666668,12.852083333333333,5.1375,20.125,15.621938012500001,14.165833333333333,5.6725,18.75,6.458273471458334,14.0025,4.699583333333334,57.75,5.107039067611111,42.60125,5.25,17.333333333333332,13.252828254166667,12.651666666666666,4.7225
2026-04-09,17.25,7.6107939875,13.093333333333334,5.86375,26.5,10.134656410833333,20.739166666666666,8.545,30.875,15.480890816666667,24.31375,10.152916666666668,29.333333333333332,8.748321523809524,23.13208333333333,8.282916666666667,79.625,8.035289296666667,58.08166666666667,10.52,26.166666666666668,11.5315783625,20.54041666666667,8.189166666666667
2026-04-10,18.041666666666668,9.3071017,12.352083333333333,7.014583333333333,27.0,12.163500067916667,18.63625,10.5875,30.083333333333332,16.19728175,19.972083333333334,11.86125,24.958333333333332,10.843875279166667,18.0,9.47125,55.958333333333336,9.174421897916666,41.318333333333335,11.9625,31.541666666666668,13.674375266666667,20.5725,12.40375
2026-04-11,20.583333333333332,5.43229678875,14.076666666666668,8.052083333333334,31.208333333333332,6.891375116666667,21.879166666666666,12.280416666666667,29.791666666666668,8.496281375,22.078333333333333,11.696666666666667,26.666666666666668,6.661875054166667,19.685416666666665,10.475416666666666,63.541666666666664,5.731125057500001,45.22416666666667,13.6875,31.666666666666668,13.403437741666666,21.013749999999998,12.472916666666668
2026-04-12,16.208333333333332,2.3635312625,12.390833333333333,5.608750000000001,22.25,3.7110469125,16.752916666666668,8.208333333333334,16.625,4.2600937624999995,12.652500000000002,5.972916666666666,19.791666666666668,5.190047045833333,15.042916666666665,7.18875,58.291666666666664,4.2290156875,43.00083333333333,10.708333333333334,26.25,11.647125179166666,19.871666666666666,9.402083333333334
2026-04-13,8.333333333333334,8.820609466666667,5.2387500000000005,2.3075,10.458333333333334,8.866031375,7.53375,3.60375,11.291666666666666,15.007547116666666,5.690833333333334,2.80875,9.875,11.079750108333334,6.63625,3.1649999999999996,22.916666666666668,9.802359425,17.893333333333334,4.559166666666667,14.75,19.260468875,9.647916666666667,4.6937500000000005
2026-04-14,8.541666666666666,9.054093719583333,3.9758333333333336,2.3941666666666666,11.083333333333334,10.261359420833333,6.341666666666666,3.7095833333333332,12.833333333333334,13.490297170833331,6.2562500000000005,3.955833333333333,11.25,13.068750291666667,6.171250000000001,3.327083333333333,17.041666666666668,10.560187654166667,13.054583333333333,5.064583333333333,14.041666666666666,13.835343866666667,8.887500000000001,5.202083333333333
2026-04-15,11.208333333333334,5.180643834583333,5.4629166666666675,4.135833333333333,16.5,5.355000029166667,8.552916666666667,6.4125000000000005,21.458333333333332,7.327345379166666,11.150833333333333,8.339166666666666,15.083333333333334,6.0215859895833335,8.137083333333333,5.827500000000001,23.5,4.318265671083334,16.801666666666666,9.127916666666666,23.875,7.348781354166667,12.972083333333332,9.367916666666666
2026-04-16,12.291666666666666,4.760132812875001,6.165416666666666,4.64125,18.916666666666668,5.907234345833333,10.116249999999999,7.295416666666667,21.416666666666668,7.69781244,11.293333333333335,8.3775,16.75,5.9924999410833335,9.130833333333333,6.5125,25.0,4.947000123333333,19.49625,9.513333333333334,22.541666666666668,9.974484325,12.145833333333334,8.795
2026-04-17,16.375,2.277070316666667,8.637083333333333,6.3525,25.541666666666668,4.7461874858333335,13.779166666666667,10.045833333333333,26.833333333333332,6.231562529166666,14.422083333333333,10.546666666666667,22.458333333333332,4.169250003125,12.609166666666667,8.799999999999999,31.083333333333332,2.1535547,24.39916666666667,11.435,28.041666666666668,9.68203138875,15.190416666666666,11.018749999999999
2026-04-18,17.0,1.7371875047916667,8.94125,6.584166666666667,26.625,4.142953164583333,14.049166666666666,10.453750000000001,26.5,5.221125055,14.714583333333332,10.42625,22.791666666666668,2.4173203170833335,12.544166666666667,8.925416666666667,30.791666666666668,2.1344296970833336,23.185833333333335,11.623750000000001,29.291666666666668,11.145093829166667,15.685,11.490833333333333
2026-04-19,13.75,1.3495875079166666,7.200833333333333,5.309583333333333,22.833333333333332,4.094343825,11.784999999999998,8.914583333333333,21.625,3.6467390875,11.645000000000001,8.434583333333334,18.625,2.1619218804166667,9.808333333333334,7.242916666666667,25.666666666666668,2.1180937583333335,17.06833333333333,10.0175,25.458333333333332,8.493890809375001,13.24875,9.97875
2026-04-20,15.75,4.588007782916667,8.162083333333333,6.050833333333333,23.333333333333332,7.563937595833334,12.492083333333333,9.1275,22.083333333333332,7.6862578358333336,12.717083333333335,8.632083333333334,20.833333333333332,4.861335988333333,11.619583333333333,8.119166666666667,34.875,5.005171930416666,27.26625,11.984166666666667,42.0,8.5042500375,21.7175,16.637916666666666
2026-04-21,19.5,7.218890666666667,10.693333333333333,7.617083333333333,28.25,7.934086071458334,16.85291666666667,11.1075,36.041666666666664,12.0383908,20.415,14.192916666666667,25.916666666666668,5.654625098333334,15.725833333333334,10.145833333333334,47.208333333333336,5.130759538333334,37.214166666666664,14.511666666666665,39.375,9.68163296375,21.570833333333336,15.516666666666666
2026-04-22,16.291666666666668,4.9195078,10.378333333333334,6.209583333333334,23.166666666666668,5.275471938291667,17.34625,9.005,29.75,7.2356251,20.619583333333335,11.687083333333334,22.458333333333332,6.143507903333333,16.660416666666666,8.74375,54.166666666666664,4.691999991666667,41.17625,11.863333333333332,27.5,9.832640738333334,18.61,10.75625
2026-04-23,14.25,5.139445427083333,9.482916666666666,5.43375,21.333333333333332,10.411171914999999,15.481250000000001,8.328333333333333,23.458333333333332,10.9757579375,16.632083333333334,9.157916666666667,20.083333333333332,6.517640624999999,14.537916666666666,7.807083333333334,59.125,5.284476521916667,45.74541666666667,10.55625,24.833333333333332,9.256500179166666,17.047083333333333,9.72625
2026-04-24,11.941176470588236,6.3300375764705885,7.985882352941176,4.4664705882352935,17.61111111111111,9.871687516666666,12.950555555555557,6.797777777777778,19.5,12.936999861111111,14.857777777777777,7.492777777777778,15.722222222222221,7.574562473388888,11.995555555555555,5.995555555555556,81.0,4.46850005882353,63.7235294117647,8.060588235294118,19.166666666666668,17.77137513888889,13.868888888888888,7.373888888888889
